comName,fit1_from,fit1_to,fit2_from,fit2_to,meg1_from,meg1_to,meg2_from,meg2_to
S&T모티브,2.5,4.5,4.0,7.0,4.0,6.0,4.0,6.0
한국전력기술,2.5,4.5,4.0,7.0,4.5,6.5,3.5,5.5
동아에스티,2.5,4.5,2.5,4.5,3.5,5.5,3.5,5.5
한라홀딩스,4.0,7.0,4.5,6.5,3.5,5.5,3.5,5.5
일양약품,2.5,4.5,3.5,6.5,4.5,6.5,4.5,7.5
동부하이텍,2.5,4.5,4.5,7.5,3.5,5.5,3.5,5.5
신도리코,3.5,5.5,4.5,6.5,3.5,5.5,3.5,5.5
세아제강,2.5,4.5,2.5,4.5,4.0,6.0,4.5,6.5
고려제강,2.5,5.5,4.5,6.5,4.0,6.0,3.5,6.5
에스엘,4.5,7.5,2.5,4.5,4.0,6.0,4.0,6.0
대덕전자,2.5,4.5,3.0,5.0,3.5,5.5,3.5,5.5
빙그레,4.5,7.5,4.0,8.0,3.5,5.5,3.5,5.5
동아타이어공업,4.0,6.0,3.0,5.0,4.5,7.5,4.5,7.5
무학,2.5,4.5,3.0,7.0,3.5,5.5,3.5,5.5
한국쉘석유,2.5,4.5,4.5,6.5,3.5,5.5,3.5,5.5
세방전지,2.5,4.5,2.5,5.5,4.5,6.5,4.5,7.5
오리온홀딩스,2.5,4.5,4.5,6.5,4.0,6.0,4.5,6.5
남양유업,2.5,4.5,4.0,6.0,3.5,5.5,3.5,5.5
동양,4.5,7.5,4.5,6.5,3.5,5.5,3.5,5.5
남해화학,3.5,5.5,2.5,4.5,3.5,5.5,4.0,6.0
에스비에스,4.5,7.5,4.5,6.5,4.5,7.5,3.5,5.5
광동제약,2.5,4.5,4.0,6.0,4.0,6.0,4.0,6.0
유니드,3.5,5.5,2.5,4.5,4.5,7.5,3.5,6.5
한진중공업,4.5,7.5,4.0,8.0,3.5,5.5,4.5,7.5
현대리바트,2.5,4.5,3.0,5.0,3.5,5.5,3.5,5.5
팜스코,2.5,4.5,4.5,7.5,3.5,5.5,3.5,5.5
한솔테크닉스,2.5,4.5,2.5,4.5,4.5,7.5,3.5,5.5
경방,2.5,4.5,3.0,6.0,4.5,6.5,3.0,5.0
보령제약,2.5,4.5,2.5,5.5,4.5,7.5,4.5,6.5
